pattern_id,instrument,timeframe,start_ts,end_ts,start_bar_index,session_name,similarity_score,engine_version,run_id
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 05:23:00+00:00,2025-11-03 05:24:00+00:00,683,,0.5652173913043479,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 16:50:00+00:00,2025-11-03 16:51:00+00:00,1370,,0.5652173913043479,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 18:50:00+00:00,2025-11-02 18:51:00+00:00,50,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 19:22:00+00:00,2025-11-02 19:23:00+00:00,82,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 23:34:00+00:00,2025-11-02 23:35:00+00:00,334,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 23:37:00+00:00,2025-11-02 23:38:00+00:00,337,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 23:53:00+00:00,2025-11-02 23:54:00+00:00,353,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 02:13:00+00:00,2025-11-03 02:14:00+00:00,493,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 02:41:00+00:00,2025-11-03 02:42:00+00:00,521,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 03:33:00+00:00,2025-11-03 03:34:00+00:00,573,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 05:44:00+00:00,2025-11-03 05:45:00+00:00,704,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 06:12:00+00:00,2025-11-03 06:13:00+00:00,732,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 13:10:00+00:00,2025-11-03 13:11:00+00:00,1150,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 18:59:00+00:00,2025-11-03 19:00:00+00:00,1439,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 19:43:00+00:00,2025-11-03 19:44:00+00:00,1483,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 23:46:00+00:00,2025-11-03 23:47:00+00:00,1726,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-04 00:53:00+00:00,2025-11-04 00:54:00+00:00,1793,,0.4782608695652174,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 20:38:00+00:00,2025-11-02 20:39:00+00:00,158,,0.41304347826086957,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 20:55:00+00:00,2025-11-02 20:56:00+00:00,175,,0.41304347826086957,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 22:49:00+00:00,2025-11-02 22:50:00+00:00,289,,0.41304347826086957,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-02 23:42:00+00:00,2025-11-02 23:43:00+00:00,342,,0.41304347826086957,1.0,20260513T211354Z
manual_f82acdf29d4daada,MNQ,1m,2025-11-03 02:18:00+00:00,2025-11-03 02:19:00+00:00,498,,0.41304347826086957,1.0,20260513T211354Z
